zh	en
动态贝叶斯网络	Dynamic Bayesian Network
动态计算图	Dynamic Computational Graph
动态融合	Dynamic Fusion
动态规划	Dynamic Programming
动态结构	Dynamic Structure
动力系统	Dynamical System
急切学习	Eager Learning
早停	Early Stopping
推土机距离	Earth-Mover's Distance
回声状态网络	Echo State Network
边	Edge
边缘设备	Edge Device
有效容量	Effective Capacity
特征分解	Eigendecomposition
特征值	Eigenvalue
特征值分解	Eigenvalue Decomposition
弹性网络正则化	Elastic Net Regularization
弹性权重巩固	Elastic Weight Consolidation
逐元素积	Element-Wise Product
基本单位向量	Elementary Basis Vectors
椭球法	Ellipsoid Method
嵌入	Embedding
嵌入表	Embedding Lookup Table
情绪分析	Emotional Analysis
经验条件熵	Empirical Conditional Entropy
经验分布	Empirical Distribution
经验熵	Empirical Entropy
经验误差	Empirical Error
经验频率	Empirical Frequency
经验损失	Empirical Loss
经验风险	Empirical Risk
经验风险最小化	Empirical Risk Minimization
编码器	Encoder
编码器-解码器（模型）	Encoder-Decoder
编码	Encoding
端到端	End-To-End
端到端学习	End-To-End Learning
端到端记忆网络	End-To-End Memory Network
能量函数	Energy Function
能量差异	Energy Gap
基于能量的模型	Energy-Based Model
集成	Ensemble
集成学习	Ensemble Learning
集成修剪	Ensemble Pruning
熵	Entropy
熵编码	Entropy Encoding
环境	Environment
回合	Episode
回合式任务	Episodic Task
轮	Epoch
等宽卷积	Equal-Width Convolution
等式约束	Equality Constraint
均衡分布	Equilibrium Distribution
等变	Equivariance
等变表示	Equivariant Representations
误差	Error
误差反向传播算法	Error Backpropagation Algorithm
误差反向传播	Error Backpropagation
误差条	Error Bar
纠错输出编码	Error Correcting Output Codes
误差函数	Error Function
误差度量	Error Metric
错误率	Error Rate
误差－分歧分解	Error-Ambiguity Decomposition
估计误差	Estimation Error
数学期望估计	Estimation Of Mathematical Expectation
估计/估计量	Estimator
欧氏距离	Euclidean Distance
欧几里得范数	Euclidean Norm
欧氏空间	Euclidean Space
欧拉-拉格朗日方程	Euler-Lagrange Equation
评价准则	Evaluation Criterion
证据	Evidence
证据下界	Evidence Lower Bound
演化	Evolution
演化计算	Evolutionary Computation
确切的	Exact
精确推断	Exact Inference
样例	Example
额外误差	Excess Error
可交换的	Exchangeable
期望	Expectation
期望极大算法	Expectation Maximization Algorithm
期望最大化	Expectation Maximization
E步	Expectation Step
期望错误	Expected Error
期望损失	Expected Loss
期望回报	Expected Return
期望风险	Expected Risk
期望值	Expected Value
经验	Experience
经验回放	Experience Replay
专家网络	Expert Network
专家系统	Expert System
相消解释	Explaining Away
相消解释作用	Explaining Away Effect
解释因子	Explanatory Factort
显式密度模型	Explicit Density Model
梯度爆炸	Exploding Gradient
利用	Exploitation
探索	Exploration
探索-利用窘境	Exploration-Exploitation Dilemma
指数衰减	Exponential Decay
指数分布	Exponential Distribution
指数线性单元	Exponential Linear Unit
指数损失	Exponential Loss
指数损失函数	Exponential Loss Function
指数加权移动平均	Exponentially Weighted Moving Average
曝光偏差	Exposure Bias
外部记忆	External Memory
超限学习机	Extreme Learning Machine
F值	F Measure
F分数	F-Score
因子	Factor
因子分析	Factor Analysis
因子图	Factor Graph
因子负荷量	Factor Loading
因子分解	Factorization
分解的	Factorized
变差因素	Factors of Variation
假负例	False Negative
假正例	False Positive
假正例率	False Positive Rate
快速暂退法	Fast Dropout
快速持续性对比散度	Fast Persistent Contrastive Divergence
容错异步训练	Fault-Tolerant Asynchronous Training
可行	Feasible
特征	Feature
特征工程	Feature Engineering
特征抽取	Feature Extraction
特征提取器	Feature Extractor
特征函数	Feature Function
特征图	Feature Map
特征尺度变换	Feature Scaling Transform
特征选择	Feature Selection
特征空间	Feature Space
特征向量	Feature Vector
特征学习	Featured Learning
反馈	Feedback
前馈	Feedforward
前馈分类器	Feedforward Classifier
前馈网络	Feedforward Network
前馈神经网络	Feedforward Neural Network
少试学习	Few-Shot Learning
逼真度	Fidelity
现场可编程门阵列	Field Programmable Gated Array
滤波器	Filter
