word	raw_rating	conc_aligned
参加	2.629	3.371
惨叫	2.278	3.722
产假	1.457	4.543
抽签	1.861	4.139
出动	2.636	3.364
锉刀	1.389	4.611
打气	2.722	3.278
倒贴	2.944	3.056
低声	2.278	3.722
嘀咕	2.486	3.514
典型	3.361	2.639
逗笑	2.600	3.400
断绝	3.143	2.857
恶魔	3.114	2.886
方向	2.722	3.278
飞车	2.056	3.944
分发	2.556	3.444
斧头	1.222	4.778
各位	2.647	3.353
功夫	2.861	3.139
鼓膜	1.882	4.118
寡人	2.486	3.514
合办	3.000	3.000
洪亮	3.028	2.972
虎年	1.943	4.057
会计	1.528	4.472
机智	3.111	2.889
角落	2.143	3.857
教师	1.361	4.639
今朝	2.611	3.389
今日	1.778	4.222
京城	1.694	4.306
惊动	3.200	2.800
旧友	2.278	3.722
局部	2.889	3.111
空袭	2.000	4.000
口红	1.343	4.657
赖账	2.514	3.486
冷漠	3.514	2.486
离开	2.353	3.647
联盟	2.556	3.444
溜冰	1.750	4.250
流转	3.059	2.941
蒙面	2.000	4.000
弥补	3.257	2.743
庙会	1.917	4.083
名画	1.778	4.222
奶妈	1.514	4.486
耐心	3.611	2.389
南北	2.056	3.944
年报	1.800	4.200
怕羞	3.444	2.556
品格	3.694	2.306
迫近	3.441	2.559
破案	2.294	3.706
欺骗	3.056	2.944
